               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  62,              1.3449,              1.4788,              1.8817,              0.8818,             0.79964,             0.84979,             0.52418,                   0,                   0,                   0,           0.0068382,           0.0068382,           0.0068382
                  63,              1.3438,               1.452,              1.8782,             0.76986,             0.82288,             0.85875,             0.53536,                   0,                   0,                   0,           0.0067864,           0.0067864,           0.0067864
                  64,              1.3349,              1.4697,              1.8765,             0.85931,             0.76112,             0.84209,             0.54466,                   0,                   0,                   0,           0.0067346,           0.0067346,           0.0067346
                  65,              1.3274,              1.4292,              1.8695,             0.85307,             0.79324,             0.84875,             0.56119,                   0,                   0,                   0,           0.0066827,           0.0066827,           0.0066827
                  66,              1.3152,              1.4048,              1.8665,             0.79351,             0.84269,             0.87219,             0.56341,                   0,                   0,                   0,           0.0066309,           0.0066309,           0.0066309
                  67,              1.3427,              1.4441,               1.877,             0.87208,             0.77486,             0.86589,             0.53609,                   0,                   0,                   0,           0.0065791,           0.0065791,           0.0065791
                  68,               1.323,              1.3968,               1.864,             0.81652,             0.83498,             0.84971,             0.56171,                   0,                   0,                   0,           0.0065272,           0.0065272,           0.0065272
                  69,              1.3021,              1.3633,              1.8445,             0.86851,             0.77132,             0.82919,              0.5294,                   0,                   0,                   0,           0.0064754,           0.0064754,           0.0064754
                  70,               1.295,              1.3803,              1.8509,              0.8416,              0.8722,             0.90161,             0.56522,                   0,                   0,                   0,           0.0064236,           0.0064236,           0.0064236
                  71,              1.2921,              1.3501,              1.8325,             0.85486,             0.85665,              0.8809,             0.58061,                   0,                   0,                   0,           0.0063717,           0.0063717,           0.0063717
                  72,              1.2875,              1.3386,              1.8292,             0.83675,             0.81033,             0.86743,             0.56402,                   0,                   0,                   0,           0.0063199,           0.0063199,           0.0063199
                  73,              1.2757,              1.3394,              1.8215,             0.87339,             0.82687,             0.87432,              0.5566,                   0,                   0,                   0,           0.0062681,           0.0062681,           0.0062681
                  74,              1.2654,              1.3485,              1.8241,             0.88563,             0.86416,             0.88565,             0.56356,                   0,                   0,                   0,           0.0062162,           0.0062162,           0.0062162
