               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  52,              1.6698,              2.1533,              2.1092,             0.76831,             0.55032,             0.65965,             0.46101,                   0,                   0,                   0,           0.0074755,           0.0074755,           0.0074755
                  53,              1.6381,              2.1749,              2.1044,             0.50125,             0.70264,             0.65388,             0.47932,                   0,                   0,                   0,            0.007426,            0.007426,            0.007426
                  54,              1.6312,              2.1455,              2.1245,             0.81741,             0.62864,             0.68349,             0.46886,                   0,                   0,                   0,           0.0073765,           0.0073765,           0.0073765
                  55,              1.6082,               2.091,              2.0684,             0.87469,             0.64006,             0.69251,             0.50751,                   0,                   0,                   0,            0.007327,            0.007327,            0.007327
                  56,              1.6205,              2.0995,               2.085,             0.74613,             0.60466,             0.68555,             0.49215,                   0,                   0,                   0,           0.0072775,           0.0072775,           0.0072775
                  57,              1.6237,              2.1068,              2.1052,             0.82989,             0.72411,             0.71058,             0.50983,                   0,                   0,                   0,            0.007228,            0.007228,            0.007228
                  58,                1.62,              2.0973,              2.0814,             0.85454,              0.5528,             0.65404,             0.44837,                   0,                   0,                   0,           0.0071785,           0.0071785,           0.0071785
                  59,              1.6067,              2.1183,              2.0979,             0.78559,             0.58009,             0.67179,             0.46886,                   0,                   0,                   0,            0.007129,            0.007129,            0.007129
                  60,               1.611,              2.0521,               2.085,             0.85724,             0.59245,             0.69263,             0.47678,                   0,                   0,                   0,           0.0070795,           0.0070795,           0.0070795
                  61,              1.5911,                2.05,              2.0772,             0.80051,             0.65453,             0.70212,             0.50802,                   0,                   0,                   0,             0.00703,             0.00703,             0.00703
                  62,              1.5342,              1.9922,              2.0306,             0.62377,             0.70985,             0.71155,             0.52172,                   0,                   0,                   0,           0.0069805,           0.0069805,           0.0069805
                  63,              1.6204,              2.0683,              2.1049,              0.7749,             0.71725,             0.71328,             0.53888,                   0,                   0,                   0,            0.006931,            0.006931,            0.006931
                  64,              1.5625,              1.9807,              2.0444,             0.88782,             0.64537,             0.73414,              0.5555,                   0,                   0,                   0,           0.0068815,           0.0068815,           0.0068815
                  65,              1.5611,              1.9724,              2.0597,              0.8732,             0.61225,              0.7149,             0.47155,                   0,                   0,                   0,            0.006832,            0.006832,            0.006832
                  66,              1.5885,              1.9954,               2.068,             0.90752,             0.65983,             0.73732,             0.50948,                   0,                   0,                   0,           0.0067825,           0.0067825,           0.0067825
                  67,              1.5752,              1.9838,              2.0444,             0.88905,             0.65552,             0.73329,             0.51474,                   0,                   0,                   0,            0.006733,            0.006733,            0.006733
                  68,              1.5593,              1.9741,              2.0567,              0.8433,             0.63606,             0.67985,             0.46954,                   0,                   0,                   0,           0.0066835,           0.0066835,           0.0066835
                  69,              1.5376,              1.9089,              2.0022,             0.65116,             0.72713,             0.73856,             0.54662,                   0,                   0,                   0,            0.006634,            0.006634,            0.006634
                  70,              1.5413,              1.9423,              2.0424,             0.61397,             0.77416,             0.72742,             0.53218,                   0,                   0,                   0,           0.0065845,           0.0065845,           0.0065845
                  71,              1.5552,              1.9057,              2.0227,             0.88676,             0.59722,             0.71119,             0.47754,                   0,                   0,                   0,            0.006535,            0.006535,            0.006535
                  72,              1.5344,              1.9322,              2.0212,             0.95607,             0.61717,             0.72738,             0.54972,                   0,                   0,                   0,           0.0064855,           0.0064855,           0.0064855
                  73,              1.5244,              1.9215,              2.0282,             0.89957,             0.65159,              0.7434,             0.53429,                   0,                   0,                   0,            0.006436,            0.006436,            0.006436
                  74,              1.4944,              1.8529,              1.9886,             0.62425,             0.65527,             0.69673,             0.54998,                   0,                   0,                   0,           0.0063865,           0.0063865,           0.0063865
                  75,              1.5004,              1.8821,              1.9821,             0.84444,              0.6889,             0.75245,             0.54096,                   0,                   0,                   0,            0.006337,            0.006337,            0.006337
                  76,              1.5214,              1.8668,              1.9956,               0.935,             0.63056,             0.73176,             0.54312,                   0,                   0,                   0,           0.0062875,           0.0062875,           0.0062875
                  77,              1.5339,              1.8986,              2.0158,             0.90275,             0.71911,             0.76187,             0.54298,                   0,                   0,                   0,            0.006238,            0.006238,            0.006238
                  78,              1.4838,              1.7932,              1.9557,             0.84137,             0.72222,              0.7269,             0.53516,                   0,                   0,                   0,           0.0061885,           0.0061885,           0.0061885
                  79,              1.5045,              1.8323,              1.9901,             0.87394,             0.62343,             0.70991,             0.47617,                   0,                   0,                   0,            0.006139,            0.006139,            0.006139
                  80,               1.478,              1.8001,              1.9713,              0.9414,                 0.7,             0.76585,             0.55543,                   0,                   0,                   0,           0.0060895,           0.0060895,           0.0060895
                  81,               1.485,              1.8053,              1.9698,             0.82983,             0.68394,             0.73667,             0.48142,                   0,                   0,                   0,             0.00604,             0.00604,             0.00604
                  82,              1.4891,              1.8016,              1.9828,             0.93448,             0.70673,             0.77071,             0.56284,                   0,                   0,                   0,           0.0059905,           0.0059905,           0.0059905
                  83,              1.4647,              1.7548,              1.9745,             0.91409,             0.69599,              0.7497,             0.51748,                   0,                   0,                   0,            0.005941,            0.005941,            0.005941
                  84,              1.4738,              1.8307,              1.9851,             0.86078,             0.66455,             0.76424,             0.53183,                   0,                   0,                   0,           0.0058915,           0.0058915,           0.0058915
                  85,              1.4806,              1.8327,              1.9841,             0.89249,             0.68609,             0.75984,             0.53211,                   0,                   0,                   0,            0.005842,            0.005842,            0.005842
                  86,              1.5053,              1.8314,              1.9954,             0.89941,             0.72353,             0.78461,             0.54292,                   0,                   0,                   0,           0.0057925,           0.0057925,           0.0057925
                  87,              1.5152,              1.8644,              2.0148,             0.96326,             0.69516,             0.73562,             0.53973,                   0,                   0,                   0,            0.005743,            0.005743,            0.005743
                  88,              1.4671,              1.7822,              1.9655,             0.86271,             0.64717,             0.73325,             0.55289,                   0,                   0,                   0,           0.0056935,           0.0056935,           0.0056935
                  89,              1.4591,              1.7509,              1.9566,             0.85783,             0.69223,             0.76792,             0.52885,                   0,                   0,                   0,            0.005644,            0.005644,            0.005644
                  90,              1.4408,              1.6856,              1.9266,             0.94948,             0.72177,             0.78053,             0.52717,                   0,                   0,                   0,           0.0055945,           0.0055945,           0.0055945
                  91,              1.4321,              1.7453,               1.946,             0.92498,             0.69346,             0.77434,             0.56882,                   0,                   0,                   0,            0.005545,            0.005545,            0.005545
                  92,              1.4362,              1.7253,                1.94,              0.7615,             0.75324,             0.77217,             0.57015,                   0,                   0,                   0,           0.0054955,           0.0054955,           0.0054955
                  93,              1.4335,              1.6665,              1.9373,              0.8718,             0.72858,             0.75126,             0.53343,                   0,                   0,                   0,            0.005446,            0.005446,            0.005446
                  94,              1.4492,              1.6939,              1.9361,              0.9335,             0.71216,             0.76214,             0.52049,                   0,                   0,                   0,           0.0053965,           0.0053965,           0.0053965
