                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                0.98662,                0.97945,                 1.3716,                0.85632,                0.78743,                0.84051,                0.59915,                 1.1542,                0.88183,                 1.5692,              0.0011585,              0.0011585,              0.0011585
                     87,                0.97405,                0.96411,                 1.3659,                0.87836,                0.77545,                0.84409,                0.61016,                 1.1264,                0.84627,                 1.5421,              0.0011486,              0.0011486,              0.0011486
                     88,                0.98546,                0.95769,                 1.3749,                0.91404,                0.72754,                0.84264,                0.60534,                 1.1372,                0.86041,                 1.5435,              0.0011387,              0.0011387,              0.0011387
                     89,                0.98686,                0.95855,                 1.3835,                0.82204,                0.77448,                0.84011,                0.60882,                 1.1008,                0.88102,                 1.5149,              0.0011288,              0.0011288,              0.0011288
                     90,                0.95356,                0.93098,                 1.3521,                0.86672,                0.79827,                0.85785,                0.61672,                 1.1237,                0.82664,                 1.5338,              0.0011189,              0.0011189,              0.0011189
                     91,                  0.953,                0.95248,                 1.3622,                0.88382,                0.75165,                0.84839,                0.61178,                 1.1253,                0.86097,                 1.5409,               0.001109,               0.001109,               0.001109
                     92,                0.96771,                0.95075,                  1.373,                0.84441,                0.79622,                0.86039,                0.61984,                   1.12,                0.86628,                 1.5344,              0.0010991,              0.0010991,              0.0010991
                     93,                 0.9455,                0.93963,                 1.3542,                 0.8808,                0.76048,                0.84037,                0.60438,                   1.12,                0.84595,                 1.5427,              0.0010892,              0.0010892,              0.0010892
                     94,                0.95543,                0.92228,                 1.3589,                  0.914,                0.77246,                0.87098,                0.61458,                 1.1456,                 0.8045,                 1.5757,              0.0010793,              0.0010793,              0.0010793
                     95,                0.94725,                0.90132,                 1.3576,                0.91441,                0.73572,                0.84495,                0.60704,                 1.1094,                0.83472,                 1.5298,              0.0010694,              0.0010694,              0.0010694
                     96,                0.95133,                0.90852,                 1.3444,                0.89003,                0.75119,                 0.8515,                0.61833,                 1.1163,                0.83531,                 1.5209,              0.0010595,              0.0010595,              0.0010595
                     97,                0.94005,                0.90264,                 1.3462,                 0.8891,                0.74408,                 0.8464,                0.61198,                 1.1057,                0.81451,                 1.5355,              0.0010496,              0.0010496,              0.0010496
                     98,                0.94985,                0.90742,                 1.3483,                0.86258,                0.76347,                0.84541,                0.60169,                 1.1134,                0.84676,                 1.5491,              0.0010397,              0.0010397,              0.0010397
