                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     93,                 1.2227,                 1.3179,                 1.5474,                0.62218,                0.63958,                0.61896,                0.32173,                 1.6275,                 1.4918,                  2.118,             0.00090785,             0.00090785,             0.00090785
                     94,                 1.1851,                  1.325,                  1.534,                0.69546,                0.54326,                0.62225,                0.34172,                  1.578,                 1.5069,                 2.0799,              0.0008996,              0.0008996,              0.0008996
                     95,                   1.21,                 1.3499,                 1.5373,                0.67143,                0.61667,                 0.6542,                0.33777,                 1.6426,                 1.4695,                 2.1382,             0.00089134,             0.00089134,             0.00089134
                     96,                 1.1823,                  1.299,                 1.5243,                0.65096,                0.56912,                0.62576,                0.36074,                 1.5426,                 1.4632,                 2.0376,             0.00088309,             0.00088309,             0.00088309
                     97,                 1.1567,                 1.2781,                 1.4978,                0.69503,                0.59271,                  0.648,                0.35652,                 1.6006,                 1.4015,                 2.1153,             0.00087484,             0.00087484,             0.00087484
                     98,                 1.1881,                 1.3432,                 1.5273,                0.57954,                0.63585,                0.61483,                0.36212,                 1.5644,                 1.5039,                 2.0634,             0.00086659,             0.00086659,             0.00086659
                     99,                 1.1574,                 1.2865,                 1.5072,                0.75986,                0.59268,                0.67722,                0.36486,                 1.5887,                  1.383,                 2.0962,             0.00085834,             0.00085834,             0.00085834
                    100,                 1.1756,                   1.27,                 1.5231,                0.77527,                0.58328,                0.65365,                0.35025,                 1.5749,                 1.4415,                  2.048,             0.00085009,             0.00085009,             0.00085009
                    101,                 1.1699,                 1.3318,                 1.5204,                0.72707,                0.55937,                0.65967,                0.35122,                 1.6065,                  1.418,                 2.1659,             0.00084184,             0.00084184,             0.00084184
                    102,                 1.1633,                 1.2794,                 1.5123,                0.78052,                0.58113,                0.68888,                0.38239,                 1.5049,                 1.3371,                 2.0489,             0.00083358,             0.00083358,             0.00083358
                    103,                 1.1283,                 1.2307,                 1.4887,                0.79537,                0.60003,                0.67971,                0.38218,                 1.6042,                 1.3794,                   2.09,             0.00082533,             0.00082533,             0.00082533
                    104,                 1.1522,                 1.2566,                 1.5042,                0.70472,                0.59583,                0.64218,                0.34746,                 1.5754,                 1.4374,                 2.1157,             0.00081708,             0.00081708,             0.00081708
                    105,                 1.1303,                 1.2376,                 1.4928,                0.83125,                0.60597,                0.71412,                0.37044,                 1.6029,                 1.4069,                 2.1191,             0.00080883,             0.00080883,             0.00080883
                    106,                 1.1454,                 1.2322,                 1.5029,                0.76309,                0.58287,                0.67513,                0.36563,                 1.6242,                 1.3211,                 2.1053,             0.00080058,             0.00080058,             0.00080058
                    107,                 1.1569,                 1.2433,                 1.4943,                0.81556,                0.56354,                0.65126,                0.37163,                 1.5464,                 1.4026,                 2.0784,             0.00079233,             0.00079233,             0.00079233
                    108,                 1.1206,                 1.2205,                 1.4844,                0.77989,                0.57767,                0.66882,                0.35035,                 1.6443,                 1.3963,                 2.1516,             0.00078407,             0.00078407,             0.00078407
                    109,                 1.1416,                 1.2232,                 1.4911,                0.71947,                0.60646,                 0.6648,                0.37228,                 1.5718,                 1.3274,                 2.0838,             0.00077582,             0.00077582,             0.00077582
                    110,                 1.0939,                 1.1636,                 1.4682,                0.89291,                0.53034,                0.66079,                0.37939,                 1.5545,                 1.3458,                 2.0651,             0.00076757,             0.00076757,             0.00076757
                    111,                 1.1107,                 1.1743,                 1.4712,                0.82309,                0.60459,                0.70006,                0.38549,                 1.5208,                 1.3877,                 2.0236,             0.00075932,             0.00075932,             0.00075932
                    112,                 1.1118,                 1.1738,                 1.4629,                0.72865,                0.60104,                0.66212,                0.35379,                  1.591,                 1.3437,                  2.126,             0.00075107,             0.00075107,             0.00075107
                    113,                 1.1297,                 1.2146,                 1.4852,                0.84971,                 0.6125,                0.70182,                0.39554,                 1.5277,                 1.3377,                 2.0144,             0.00074282,             0.00074282,             0.00074282
                    114,                 1.0829,                 1.1977,                 1.4619,                0.73383,                0.63125,                0.68591,                0.37913,                 1.5557,                 1.3449,                 2.1056,             0.00073456,             0.00073456,             0.00073456
                    115,                 1.0431,                 1.1126,                 1.4289,                0.83266,                0.57584,                0.68867,                 0.3791,                 1.5521,                 1.3766,                 2.0887,             0.00072631,             0.00072631,             0.00072631
                    116,                 1.1005,                 1.1694,                 1.4604,                0.77767,                0.56661,                0.63995,                0.36573,                 1.5599,                 1.4295,                 2.1052,             0.00071806,             0.00071806,             0.00071806
                    117,                 1.0845,                 1.1348,                 1.4456,                0.79491,                0.63074,                0.69005,                0.37681,                 1.5309,                 1.2973,                 2.0854,             0.00070981,             0.00070981,             0.00070981
                    118,                 1.0567,                 1.1087,                 1.4343,                0.85413,                0.53375,                0.65503,                0.36376,                 1.5754,                 1.4293,                 2.0793,             0.00070156,             0.00070156,             0.00070156
                    119,                 1.0837,                 1.1341,                 1.4369,                0.76312,                0.62578,                0.68298,                0.39973,                 1.4903,                 1.2732,                   2.02,             0.00069331,             0.00069331,             0.00069331
                    120,                 1.0507,                 1.1155,                 1.4171,                0.84402,                0.59062,                 0.6717,                0.39703,                 1.5196,                  1.322,                 2.0958,             0.00068505,             0.00068505,             0.00068505
