                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                0.97229,                 1.0984,                 1.3808,                 0.7851,                0.60692,                0.68447,                0.40614,                 1.4921,                 1.3078,                 1.9704,             0.00062155,             0.00062155,             0.00062155
                     91,                0.96923,                 1.0995,                 1.3845,                0.73621,                0.58682,                0.67733,                0.40903,                 1.4688,                 1.3315,                 1.9754,             0.00061605,             0.00061605,             0.00061605
                     92,                 0.9451,                  1.104,                 1.3672,                0.80292,                 0.5929,                0.71583,                0.42312,                 1.3949,                 1.3288,                  1.925,             0.00061055,             0.00061055,             0.00061055
                     93,                0.97159,                 1.1063,                 1.3908,                0.71006,                0.60868,                0.68807,                0.42692,                  1.419,                 1.3193,                 1.9138,             0.00060505,             0.00060505,             0.00060505
                     94,                0.96625,                 1.1053,                 1.3937,                0.80596,                 0.6147,                0.68076,                0.41921,                 1.4902,                 1.2903,                  2.022,             0.00059955,             0.00059955,             0.00059955
                     95,                0.96401,                 1.0569,                 1.3676,                0.65748,                0.66223,                0.66146,                0.40928,                 1.4247,                 1.2508,                  1.946,             0.00059405,             0.00059405,             0.00059405
                     96,                0.95484,                 1.0639,                 1.3667,                0.80441,                0.62354,                0.70111,                0.44959,                 1.4299,                  1.218,                 1.9454,             0.00058855,             0.00058855,             0.00058855
                     97,                0.95232,                 1.0743,                 1.3594,                 0.6961,                0.69902,                0.70698,                0.45135,                 1.4062,                 1.1615,                 1.9253,             0.00058305,             0.00058305,             0.00058305
                     98,                0.91062,                 1.0109,                 1.3328,                  0.794,                0.60681,                0.68608,                0.44765,                 1.4128,                 1.2876,                 1.9357,             0.00057755,             0.00057755,             0.00057755
                     99,                0.93294,                 1.0379,                 1.3645,                0.74221,                0.64438,                0.70627,                0.46114,                 1.3829,                  1.161,                 1.9293,             0.00057205,             0.00057205,             0.00057205
                    100,                0.91413,                 1.0339,                 1.3278,                 0.8597,                0.58304,                0.68915,                0.43737,                 1.4644,                 1.2383,                 1.9928,             0.00056655,             0.00056655,             0.00056655
                    101,                0.92678,                 1.0411,                 1.3582,                0.65125,                0.67601,                0.69542,                0.44816,                 1.3786,                 1.1888,                 1.9286,             0.00056105,             0.00056105,             0.00056105
                    102,                0.88601,                 0.9845,                 1.3291,                0.82801,                0.58569,                 0.6996,                0.45198,                 1.4218,                 1.2154,                 1.9705,             0.00055556,             0.00055556,             0.00055556
                    103,                0.92788,                 1.0415,                 1.3485,                0.76163,                0.63465,                0.69702,                 0.4505,                 1.4065,                 1.2541,                 1.9165,             0.00055006,             0.00055006,             0.00055006
                    104,                0.89417,                0.98308,                 1.3164,                0.77608,                0.65596,                0.71855,                0.47175,                 1.3984,                 1.1663,                 1.9217,             0.00054456,             0.00054456,             0.00054456
                    105,                0.88028,                0.98982,                 1.3102,                0.75825,                0.66374,                0.70934,                0.45647,                  1.423,                  1.246,                 1.9269,             0.00053906,             0.00053906,             0.00053906
                    106,                0.90248,                0.99381,                 1.3308,                0.74133,                0.66701,                0.70574,                0.46179,                 1.3871,                 1.1991,                 1.9518,             0.00053356,             0.00053356,             0.00053356
                    107,                0.89493,                0.95064,                 1.3214,                0.81142,                0.65311,                0.71234,                0.46787,                 1.4001,                 1.1682,                 1.9046,             0.00052806,             0.00052806,             0.00052806
                    108,                 0.8789,                0.97279,                 1.3048,                0.79765,                0.62709,                0.71782,                0.46127,                 1.3496,                 1.2323,                  1.872,             0.00052256,             0.00052256,             0.00052256
                    109,                0.89573,                   1.01,                 1.3226,                0.74904,                0.68813,                 0.7331,                0.45306,                 1.3822,                 1.1807,                  1.899,             0.00051706,             0.00051706,             0.00051706
                    110,                0.87133,                0.99198,                 1.3108,                0.83071,                0.67948,                0.76283,                 0.4803,                 1.3653,                 1.1235,                 1.8856,             0.00051156,             0.00051156,             0.00051156
                    111,                0.89231,                0.97953,                 1.3213,                 0.7959,                0.64467,                0.72166,                0.46162,                  1.378,                 1.1926,                 1.9171,             0.00050606,             0.00050606,             0.00050606
                    112,                0.88708,                0.96889,                  1.318,                0.79518,                0.65552,                0.72108,                0.46593,                 1.3516,                 1.2289,                 1.8872,             0.00050056,             0.00050056,             0.00050056
                    113,                0.87257,                0.99502,                  1.304,                0.85157,                0.61569,                0.69941,                 0.4482,                 1.3661,                 1.2328,                 1.9035,             0.00049506,             0.00049506,             0.00049506
                    114,                0.87325,                 0.9187,                 1.2976,                0.82099,                0.68096,                0.71392,                0.46482,                 1.3566,                 1.1462,                 1.8736,             0.00048956,             0.00048956,             0.00048956
                    115,                0.87615,                0.96738,                  1.313,                0.74976,                0.68023,                0.72634,                0.45851,                 1.3957,                 1.1448,                 1.9126,             0.00048406,             0.00048406,             0.00048406
                    116,                0.81533,                0.90641,                 1.2801,                0.74735,                0.65871,                0.71795,                0.45221,                 1.3704,                  1.181,                 1.9568,             0.00047856,             0.00047856,             0.00047856
                    117,                 0.8612,                0.96628,                 1.3081,                0.81814,                0.63783,                0.73206,                0.46684,                 1.3895,                 1.1961,                 1.9351,             0.00047306,             0.00047306,             0.00047306
                    118,                0.86255,                0.93597,                 1.2986,                0.73614,                0.70383,                0.73155,                0.46439,                 1.4001,                 1.2422,                 1.9811,             0.00046756,             0.00046756,             0.00046756
                    119,                0.83491,                0.92874,                 1.2848,                0.81862,                0.60827,                0.71143,                0.45919,                 1.4366,                 1.2595,                 1.9917,             0.00046206,             0.00046206,             0.00046206
                    120,                0.82002,                0.87885,                  1.275,                0.77486,                0.64333,                0.70887,                0.46181,                 1.4287,                 1.2548,                 2.0136,             0.00045657,             0.00045657,             0.00045657
                    121,                0.83382,                0.88953,                 1.2727,                0.80531,                0.60402,                0.70607,                0.45569,                 1.4338,                  1.176,                 1.9883,             0.00045107,             0.00045107,             0.00045107
